Time (s),Amplitude
1.058547,0
1.058547,0
1.059546,0
1.059546,0
1.059546,0
1.060548,0
1.060548,0
1.060548,0
1.061547,0
1.061547,0
1.061547,0
1.061547,0
1.062549,0
1.062549,0
1.062549,0
1.063554,0
1.063554,0
1.063554,0
1.063554,0
1.064550,0
1.064550,0
1.064550,0
1.064550,0
1.064550,0
1.065550,0
1.065550,0
1.066549,0
1.066549,0
1.066549,0
1.066549,0
1.067548,0
1.067548,0
1.067548,0
1.067548,0
1.067548,0
1.067548,0
1.067548,0
1.069547,0
1.069547,0
1.069547,0
1.069547,0
1.069547,0
1.069547,0
1.070549,0
1.070549,0
1.070549,0
1.070549,0
1.071549,0
1.071549,0
1.072549,0
1.072549,0
1.072549,0
1.072549,0
1.072549,0
1.072549,0
1.072549,0
1.072549,0
1.073548,0
1.074548,0
1.074548,0
1.074548,0
1.075548,0
1.075694,0
1.075694,0
1.075694,0
1.075694,0
1.075694,0
1.075694,0
1.075694,0
1.077689,0
1.077689,0
1.077689,0
1.077689,0
1.077689,0
1.077689,0
1.078688,0
1.078688,0
1.078688,0
1.078688,0
1.079690,0
1.080688,0
1.080688,0
1.080688,0
1.080688,0
1.080688,0
1.080688,0
1.081689,0
1.081860,0
1.081860,0
1.081860,0
1.083370,0
1.083370,0
1.083370,0
1.083370,0
1.083370,0
1.083370,0
1.083370,0
1.084371,0
1.084371,0
1.084371,0
1.084371,0
1.085371,0
1.086370,0
1.086370,0
1.086370,0
1.086370,0
1.087373,0
1.087373,0
1.087373,0
1.087373,0
1.087373,0
1.088373,0
1.088373,0
1.088373,0
1.088373,0
1.089370,0
1.089370,0
1.089370,0
1.089370,0
1.089370,0
1.089370,0
1.090370,0
1.091371,0
1.091371,0
1.091371,0
1.091371,0
1.092370,0
1.092370,0
1.092370,0
1.092370,0
1.093370,0
1.093370,0
1.093370,0
1.094372,0
1.094372,0
1.094372,0
1.094372,0
1.094372,0
1.094372,0
1.095371,0
1.095371,0
1.095371,0
1.095371,0
1.096372,0
1.097371,0
1.097371,0
1.097371,0
1.097371,0
1.097371,0
1.097371,0
1.097371,0
1.098371,0
1.098371,0
1.098371,0
1.099371,0
1.100372,0
1.100372,0
1.100372,0
1.100372,0
1.100372,0
1.100372,0
1.101372,0
1.101372,0
1.101372,0
1.101372,0
1.102373,0
1.102373,0
1.103373,0
1.103373,0
1.103373,0
1.103373,0
1.104372,0
1.104372,0
1.104372,0
1.104372,0
1.105570,0
1.105570,0
1.105570,0
1.105570,0
1.105570,0
1.105570,0
1.106570,0
1.106570,0
1.106570,0
1.106570,0
1.106570,0
1.107566,0
1.107566,0
1.108564,0
1.108564,0
1.108564,0
1.108564,0
1.108564,0
1.108564,0
1.108564,0
1.109565,0
1.109565,0
1.110565,0
1.110565,0
1.110565,0
1.111565,0
1.111565,0
1.111565,0
1.111565,0
1.111565,0
1.111565,0
1.111565,0
1.113565,0
1.113565,0
1.113565,0
1.113565,0
1.113565,0
1.114565,0
1.114565,0
1.114565,0
1.114565,0
1.114565,0
1.114565,0
1.116566,0
1.116566,0
1.116566,0
1.116566,0
1.116566,0
1.116566,0
1.117565,0
1.117565,0
1.117565,0
1.117565,0
1.117565,0
1.119565,0
1.119565,0
1.119565,0
1.119565,0
1.119565,0
1.119565,0
1.119565,0
1.119565,0
1.120565,0
1.120565,0
1.121567,0
1.121567,0
1.121567,0
1.122566,0
1.122566,0
1.122566,0
1.122566,0
1.122566,0
1.122566,0
1.123565,0
1.123565,0
1.124567,0
1.124567,0
1.124567,0
1.124567,0
1.125624,0
1.125730,0
1.125730,0
1.125730,0
1.125730,0
1.125730,0
1.126727,0
1.127726,0
1.127726,0
1.127726,0
1.127726,0
1.127726,0
1.127726,0
1.128725,0
1.128725,0
1.128725,0
1.128725,0
1.129727,0
1.129727,0
1.130725,0
1.130725,0
1.130725,0
1.130725,0
1.130725,0
1.130725,0
1.131781,0
1.132011,0
1.132011,0
1.133006,0
1.133006,0
1.133006,0
1.133006,0
1.133006,0
1.134005,0
1.134005,0
1.134005,0
1.134005,0
1.134005,0
1.134005,0
1.136006,0
1.136006,0
1.136006,0
1.136006,0
1.136006,0
1.136006,0
1.137005,0
1.137005,0
1.137005,0
1.137005,0
1.138012,0
1.139005,0
1.139005,0
1.139005,0
1.139005,0
1.139005,0
1.139005,0
1.139005,0
1.140005,0
1.140005,0
1.140005,0
1.141006,0
1.141006,0
1.141006,0
1.142005,0
1.142005,0
1.142005,0
1.142005,0
1.142005,0
1.142005,0
1.142005,0
1.143005,0
1.144006,0
1.144006,0
1.144006,0
1.144006,0
1.145006,0
1.145006,0
1.145006,0
1.145006,0
1.145006,0
1.145006,0
1.147006,0
1.147006,0
1.147006,0
1.147006,0
1.147006,0
1.148006,0
1.148006,0
1.148006,0
1.148006,0
1.148006,0
1.148006,0
1.150056,0
1.150163,0
1.150163,0
1.150163,0
1.150163,0
1.150163,0
1.150163,0
1.151158,0
1.151158,0
1.151158,0
1.151158,0
1.152158,0
1.152158,0
1.152158,0
1.153158,0
1.153158,0
1.153158,0
1.153158,0
1.153158,0
1.153158,0
1.153158,0
1.155158,0
1.155158,0
1.155158,0
1.155158,0
1.155158,0
1.156210,0
1.156306,0
1.156306,0
1.156835,0
1.156835,0
1.156835,0
1.157814,0
1.157814,0
1.157814,0
1.157814,0
1.158813,0
1.158813,0
1.158813,0
1.158813,0
1.158813,0
1.158813,0
1.158813,0
1.160815,0
1.160815,0
1.160815,0
1.160815,0
1.161814,0
1.161814,0
1.161814,0
1.161814,0
1.161814,0
1.161814,0
1.163814,0
1.163814,0
1.163814,0
1.163814,0
1.163814,0
1.163814,0
1.163814,0
1.164814,0
1.164814,0
1.164814,0
1.164814,0
1.165815,0
1.165815,0
1.166815,0
1.166815,0
1.166815,0
1.166815,0
1.166815,0
1.166815,0
1.166815,0
1.166815,0
1.166815,0
1.168815,0
1.168815,0
1.169815,0
1.169815,0
1.169815,0
1.169815,0
1.169815,0
1.169815,0
1.169815,0
1.169815,0
1.171815,0
1.171815,0
1.171815,0
1.171815,0
1.171815,0
1.172815,0
1.172815,0
1.172815,0
1.172815,0
1.172815,0
1.172815,0
1.174973,0
1.174973,0
1.174973,0
1.174973,0
1.174973,0
1.174973,0
1.175969,0
1.175969,0
1.175969,0
1.175969,0
1.175969,0
1.176969,0
1.176969,0
1.177967,0
1.177967,0
1.177967,0
1.177967,0
1.177967,0
1.178601,0
1.178601,0
1.178968,0
1.179967,0
1.179967,0
1.179967,0
1.179967,0
1.181021,0
1.181043,0
1.181142,0
1.181142,0
1.181142,0
1.181142,0
1.181142,0
1.183141,0
1.183141,0
1.183141,0
1.183141,0
1.183141,0
1.184141,0
1.184141,0
1.184141,0
1.184141,0
1.184141,0
1.184141,0
1.185606,0
1.185606,0
1.185606,0
1.186588,0
1.186588,0
1.186588,0
1.186588,0
1.186588,0
1.186588,0
1.186588,0
1.187588,0
1.188912,0
1.188912,0
1.188912,0
1.189889,0
1.189889,0
1.189889,0
1.190891,0
1.190891,0
1.190891,0
1.190891,0
1.190891,0
1.191889,0
1.191889,0
1.191889,0
1.191889,0
1.191889,0
1.192888,0
1.192888,0
1.192888,0
1.192888,0
1.192888,0
1.193890,0
1.193890,0
1.194887,0
1.194887,0
1.194887,0
1.194887,0
1.194887,0
1.194887,0
1.194887,0
1.195886,0
1.196893,0
1.196893,0
1.196893,0
1.196893,0
1.196893,0
1.197889,0
1.197889,0
1.197889,0
1.197889,0
1.197889,0
1.197889,0
1.199976,0
1.199976,0
1.199976,0
1.199976,0
1.199976,0
1.199976,0
1.199976,0
1.200974,0
1.200974,0
1.200974,0
1.200974,0
1.202973,0
1.202973,0
1.202973,0
1.202973,0
1.203973,0
1.203973,0
1.203973,0
1.203973,0
1.203973,0
1.204976,0
1.204976,0
1.204976,0
1.205974,0
1.205974,0
1.205974,0
1.205974,0
1.205974,0
1.206975,0
1.206975,0
1.206975,0
1.206975,0
1.207973,0
1.207973,0
1.207973,0
1.208973,0
1.208973,0
1.208973,0
1.208973,0
1.209975,0
1.209975,0
1.209975,0
1.209975,0
1.210977,0
1.211512,0
1.211512,0
1.211512,0
1.211512,0
1.211512,0
1.211512,0
1.211512,0
1.212492,0
1.212492,0
1.213570,0
1.213570,0
1.213570,0
1.213570,0
1.213570,0
1.213570,0
1.214571,0
1.214571,0
1.214571,0
1.214571,0
1.214571,0
1.216570,0
1.216570,0
1.216570,0
1.216570,0
1.216570,0
1.216570,0
1.216570,0
1.217570,0
1.217570,0
1.217570,0
1.217570,0
1.218570,0
1.219571,0
1.219571,0
1.219571,0
1.219571,0
1.219571,0
1.219571,0
1.219571,0
1.219571,0
1.220570,0
1.221573,0
1.221573,0
1.221573,0
1.222570,0
1.222570,0
1.222570,0
1.222570,0
1.222570,0
1.222570,0
1.222570,0
1.222570,0
1.224571,0
1.224571,0
1.224571,0
1.224571,0
1.224571,0
1.225571,0
1.225571,0
1.225571,0
1.225571,0
1.225571,0
1.225571,0
1.227573,0
1.227573,0
1.227573,0
1.227573,0
1.227573,0
1.227573,0
1.228571,0
1.228571,0
1.228571,0
1.228571,0
1.229573,0
1.230571,0
1.230571,0
1.230571,0
1.230571,0
1.230571,0
1.230571,0
1.230571,0
1.230571,0
1.230571,0
1.231571,0
1.232577,0
1.232577,0
1.233575,0
1.233575,0
1.233575,0
1.233575,0
1.233575,0
1.233575,0
1.233575,0
1.233575,0
1.234573,0
1.235573,0
1.235573,0
1.235573,0
1.236572,0
1.236572,0
1.236572,0
1.236572,0
1.236572,0
1.236572,0
1.236572,0
1.238576,0
1.238576,0
1.238576,0
1.239576,0
1.239576,0
1.239576,0
1.239576,0
1.240575,0
1.240575,0
1.240575,0
1.240575,0
1.241575,0
1.241575,0
1.241575,0
1.241575,0
1.241575,0
1.242575,0
1.242575,0
1.242575,0
1.242575,0
1.243576,0
1.243576,0
1.244575,0
1.244575,0
1.244575,0
1.244575,0
1.244575,0
